"STATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014739","2015-04-20","13.87","0.61","0.0","43","51","41","    1",,,,,,,
"USW00014739","2015-04-21","9.62","0.54","0.0","56","65","46","    1","    1","    1",,,,,
"USW00014739","2015-04-22","14.76","0.00","0.0","56","67","43",,,,,,,,
"USW00014739","2015-04-23","15.88","0.00","0.0","47","51","38",,,,,,,,
"USW00014739","2015-04-24","15.43","0.00","0.0","43","50","37",,,,,,,,
"USW00014739","2015-04-25","10.51","0.00","0.0","45","56","36",,,,,,,,
"USW00014739","2015-04-26","6.49","0.00","0.0","47","56","43",,,,,,,,
"USW00014739","2015-04-27","11.41","0.10","0.0","51","57","45","    1",,,,,,,
"USW00014739","2015-04-28","14.32","0.07","0.0","49","64","42","    1",,,,,,,
"USW00014739","2015-04-29","8.72","0.00","0.0","52","54","48",,,,,,,,
"USW00014739","2015-04-30","8.95","0.00","0.0","50","55","44",,,,,,,,
"USW00014739","2015-05-01","7.83","0.00","0.0","45","49","39",,,,,,,,
"USW00014739","2015-05-02","6.93","0.00","0.0","43","50","39",,,,,,,,
"USW00014739","2015-05-03","8.50","0.00","0.0","53","67","45",,,,,,,,
"USW00014739","2015-05-04","13.20","0.00","0.0","63","84","49",,,,,,,,
"USW00014739","2015-05-05","9.62","0.02","0.0","66","70","54",,,,,,,,
"USW00014739","2015-05-06","9.40","0.00","0.0","61","73","52",,,,,,,,
"USW00014739","2015-05-07","10.51","0.00","0.0","65","79","53",,,,,,,,
"USW00014739","2015-05-08","11.63","0.00","0.0","60","71","46",,,,,,,,
"USW00014739","2015-05-09","7.61","0.00","0.0","51","71","46","    1",,,,,,,
"USW00014739","2015-05-10","13.42","0.00","0.0","71","89","59",,,,,,,,
"USW00014739","2015-05-11","9.62","0.00","0.0","68","80","50","    1",,,,,,,
"USW00014739","2015-05-12","9.17","0.02","0.0","57","87","48","    1","    1",,,,,,
"USW00014739","2015-05-13","14.32","0.00","0.0","64","69","53",,,,,,,,
"USW00014739","2015-05-14","9.40","0.00","0.0","58","69","49",,,,,,,,
"USW00014739","2015-05-15","6.49","0.00","0.0","59","67","48",,,,,,,,
"USW00014739","2015-05-16","7.83","0.00","0.0","61","71","55",,,,,,,,
"USW00014739","2015-05-17","7.83","0.00","0.0","61","67","52","    1","    1",,,,,,
"USW00014739","2015-05-18","10.29","0.00","0.0","53","58","49","    1",,,,,,,
"USW00014739","2015-05-19","9.84","0.27","0.0","56","65","52","    1",,,,,,,
"USW00014739","2015-05-20","13.87","0.00","0.0","61","66","51",,,,,,,,
